image_hash,width,height,box_hash,x,y,w,h,category
29d4e6ff68733618e5a8b9e6106c6fe8,1080,1080,6dfc70d2dba1a9b00b672ac99e2f1b5e,253,599,133,338,jeans
29d4e6ff68733618e5a8b9e6106c6fe8,1080,1080,10fb2610064f85bd5d9b477ebba1bcff,214,411,191,269,sweaters
ea2efbab566fd2b6164c1bc1e2ca98f7,1536,2048,9f3a9b2bb2b2367d257547b7f2cc78a7,394,424,652,623,sweaters
cec4cdc2ae11b311a3501216248e5d27,1080,1080,673fe7b817b4f3f3e81ccd53fe074509,396,25,353,405,buttondowns
2a6bde033aa7e092ac4c6fbc3d882cbb,2048,2048,a696e4ffc6c4ebddae37df2e9695f14d,273,906,945,922,leggings
f7e93791f3d18e1a5d1bebeb7605eac5,2448,3264,b0bf856ba69afcb287bc958ea7dce7b9,578,634,1116,1001,sweaters
bffc14dc4c865f17d8c6d72b3dcbfebc,810,1080,4e6bfab277120e80545e4e0192212724,244,205,308,662,dresses
fab12a9c5522182cf237bf72eb31da70,2448,3264,be091508b25303bc87c7f5bf2ffee294,966,716,773,1303,dresses
894bbb5ca64cefe61878d1f0f4428ef2,2448,3264,302e1a12235d21db94eff05e29d70899,727,807,731,884,coats_jackets
894bbb5ca64cefe61878d1f0f4428ef2,2448,3264,882e6ecd6e7c7c7fa73797e3907ea2d2,912,776,326,599,buttondowns
387602024a729feb6050808b535dcdcf,1536,2048,c46cb813d04c35b28875de2d02395939,415,911,308,575,dresses
653ec4cab6cabd21786b7db5d3d52c73,800,1130,b1eb2672db23a1d6f0a0c312d131d855,100,215,428,661,dresses
abf594f4d6370f506cd2a7dbd0ddf001,2100,3000,12d04c38087206620e5b63dc314e2d89,714,1360,547,611,skirts
abf594f4d6370f506cd2a7dbd0ddf001,2100,3000,029b51d18cb644379b4e1a16d02f8558,629,953,725,562,sweaters
647207e37ca5089b7ef0ad55ffeb2b56,947,1080,069b85b39ad3dd3527b9e332ca08ad75,295,323,297,413,coats_jackets
647207e37ca5089b7ef0ad55ffeb2b56,947,1080,43a06f0e1bcc4535d5f4981483c48965,332,358,237,575,jeans
bbe605c451616bdbebdd92870f3bda3a,1080,1080,ed577eb0465928ba09bf4cfe1136edc3,195,485,432,445,skirts
bbe605c451616bdbebdd92870f3bda3a,1080,1080,d43ff6967b7342d865727709cc721391,128,260,344,329,tanks_camis
b1583a530f9bc86ad485eaaf124ae154,2100,3000,0c2ef1d5a72df097c634a5b87512a613,637,792,567,829,vests
467a310428e912de17d4f3bd65de38bd,800,1067,a28c6a307607bacb72221a33bcc672a3,379,295,190,256,tanks_camis
467a310428e912de17d4f3bd65de38bd,800,1067,14c1a4f9291dd89f37790da214e96c03,341,485,247,217,skirts
81549567233e1bbea45e9428990240a3,1138,1705,3cfa822bfc09bc8a806b3485c1d09e8c,298,299,756,951,dresses
433169da9d2e0833f89ce5e581dc5c37,1080,1080,e2b15fad7f69ba6bb1a8a84237960f21,133,142,505,403,coats_jackets
433169da9d2e0833f89ce5e581dc5c37,1080,1080,ea1dc9fe9a2f9a06742b54330759eb75,423,0,656,890,tees
433169da9d2e0833f89ce5e581dc5c37,1080,1080,109a774a811681c7a9d89e32afdecb7a,147,489,599,504,jeans
58da7a44e6a5897f687fe16d8b835333,1080,1620,ca355579aeaa6bc84399b083d4e54141,289,548,301,514,overalls
5a968251dfbd1391d78e4ceebbcb7172,800,1369,662eb25f8f399942b18c7b540a1ef862,310,420,203,477,dresses
b6413984d5fe6f20b31be7a406719755,913,1304,b3a7141d8b8fa400f1442ccaf90dbd49,137,232,543,606,dresses
c7b5ad768f3ea84cc1e0dbeaa39feee5,810,1080,00cad1cc2982a3d3d112b06085e748d5,247,578,387,308,jeans
c7b5ad768f3ea84cc1e0dbeaa39feee5,810,1080,6edff042171ddc9f51777c7677b10d6b,73,408,310,323,coats_jackets
8f97f4458bc47fac1362c96a131e0c38,900,900,468337e4785fe3003f99d77b6fae20bc,297,584,294,212,shorts
8f97f4458bc47fac1362c96a131e0c38,900,900,c9f794ffe864b1d87a62d221510a1469,250,128,185,509,longsleeveshirts
8f97f4458bc47fac1362c96a131e0c38,900,900,872ed464275b04e443832244b43f11a6,193,13,493,653,suitcoats_blazers
27b045c1501f8e65f430a5a250ff61fd,1080,1080,2260295e9683308d8e3b660b3e230bb2,607,195,354,423,tees
11a16bebd02030a09c52c19dfffe4be9,800,1200,3995b1d7252f01e0fbc6bb88dc49cc29,2,533,795,666,dresses
b1aa301c4e7324ffcf4eb9cb6a44bc55,2988,5312,d4bc7db81c3da62a9eef1c96c089fb71,743,3346,1276,1965,pants
b1aa301c4e7324ffcf4eb9cb6a44bc55,2988,5312,3f7eb4c964d0d91e13346b2e7d493bd9,330,1456,1833,2336,sweaters
06512f346f6ac9910d85fc08833d4ab2,864,1080,6cb9002adbb4c6ed05c658f7b922371a,302,299,189,382,dresses
3cdaea904ebfd0c70412dcd9f95475d5,800,1420,63cf59116859555be0c17e4036ba9184,134,340,589,689,coats_jackets
3cdaea904ebfd0c70412dcd9f95475d5,800,1420,4f2c31d6e36245246f09d233880204d4,241,457,350,963,jumpsuits
f1992e603b4f834edb61da5340eddc65,1865,2350,dcc3918fddb390e966a9b7607f9c22a7,317,658,941,1688,dresses
9bba70f81fdf39d713a0efdaa0ef0c6d,2000,3008,d765aa676b37c840c8698a3d751df494,394,680,1034,646,coats_jackets
9bba70f81fdf39d713a0efdaa0ef0c6d,2000,3008,20b7adb2346a5ef1c7f91ec1a86e6306,732,749,644,1227,dresses
67ae292488109ac9f4aa7b1b85efa17d,1195,1593,a291c3a336387f84ec5091251e074061,315,385,511,887,dresses
67ae292488109ac9f4aa7b1b85efa17d,1195,1593,02bf6374bafea613e10b23ddf83ca085,283,398,547,457,sweaters
068567f66b37fd013b92f7765be40623,913,1304,20313354a2e66b6ac5a3f368f0104ffc,194,323,444,563,dresses
68098eb9955565d2bf4061c22e9a03d4,1080,1080,41a6c92bd06e957ebbaa7c639f0feeb3,53,0,626,663,coats_jackets
68098eb9955565d2bf4061c22e9a03d4,1080,1080,350c081e682adca6e54b2cdc6a57e473,244,220,656,674,jeans
bb1fe6f24817d3e213698f5ee68d2987,1961,2941,8480fc4fc117f8879d0dc2a770db2620,306,499,1084,978,longsleeveshirts
bb1fe6f24817d3e213698f5ee68d2987,1961,2941,a8e6897351dea85474b85f2150d0705d,691,1095,604,1463,pants
fd58bb68c26db0c5026ad54619522e94,1897,1897,cf673c5d0ec4cc2834c63d400148e2aa,577,451,773,1323,dresses
1a5dc436c60827add74e0bb3815373b3,1080,907,17f4d4e2ff6489c957a064128bfb593a,480,222,297,352,dresses
f697856f964e0cb50d0eff056a971620,2448,3264,3318a19dbd8dc9fac3c92a49de6b5e81,762,619,1062,1172,sweaters
f697856f964e0cb50d0eff056a971620,2448,3264,9fdf10b0fb24bdf7f4dfe134581735a8,992,637,606,789,buttondowns
a6c3b8f52a3655583aa6ac1be7198697,2000,2668,5c7ac3b68d15cf42aed695fa95db213a,494,514,1070,947,sweaters
