image_hash,width,height,box_hash,x,y,w,h,category
3dfb2a90523cfda6cde084040dae9da5,1080,1080,4b7a308bb099b48e46a8fb2dfeba19f3,433,355,294,573,pants
3dfb2a90523cfda6cde084040dae9da5,1080,1080,7a73964d5d399100eab49f591c636f51,397,147,388,419,suitcoats_blazers
fb852bb228b4fa636a3dbbdf5d68d577,909,931,6722ca443905fb04512d45ce09d41931,0,0,660,806,tanks_camis
fb852bb228b4fa636a3dbbdf5d68d577,909,931,b8cbb1f6d3775229957135210f57e0d2,372,562,333,245,pants
9eb165794ff28cb38af2aad056b0c3ed,1013,1540,793bcd3fe8d93a3d33c90cda34858465,301,320,423,712,dresses
9eb165794ff28cb38af2aad056b0c3ed,1013,1540,335f2b6dd30169acff66f1cc48c022b1,272,306,444,599,coats_jackets
8ae5a5af8104761d2984d71f6749a4f5,1080,1080,21ffc3a62c2cdcc8390717f53b691135,0,22,791,889,tunics
0300504767c44019256df424e89c07b7,800,1423,e737360955fa084c3ed346cac3d0f0eb,215,462,246,937,dresses
e4890cf82d645db7da324f7ab9966fbb,2448,3264,2577e233e3ecee3cd0b63d0f7e32d074,580,359,1073,994,suitcoats_blazers
fcb60c721d0b7f4c122906a5b3e9d6f1,2100,3000,c0383e92e4bb32e6d95fb5b4400494cf,313,573,1197,1560,dresses
8e0f1ecef8015f6df38386222da53912,800,1132,2687f7f2c4e5d3c28b83a5b43585a19d,275,449,497,427,buttondowns
92784a4880c3bc72d8e7329c15ba3f0d,5120,3620,98808cedfc4f4c373fcb01bcd92007e4,296,612,1448,1057,buttondowns
92784a4880c3bc72d8e7329c15ba3f0d,5120,3620,ca2734917db573a105601865e31fa4ce,525,1408,1042,1467,skirts
92784a4880c3bc72d8e7329c15ba3f0d,5120,3620,27f3e0c739b75b8ee01f32d13b9e2e3c,2772,874,1760,1201,buttondowns
92784a4880c3bc72d8e7329c15ba3f0d,5120,3620,7bd69ebf7b7934911376e1685f415584,3145,1904,1652,1715,skirts
fea41e101b2c5038ebea361c79766c8f,1080,1080,028122182057c5837a3890177c361f44,444,214,265,383,rompers
2764588ee14b82a290bf038f735fdb55,864,1080,545280dbd6917feda41e4fd76da70a03,225,378,367,368,skirts
b74be3d9ee4fd85ca9a403497f3c88be,1049,1829,889342ae7c8aa04b77abb56f6720aeeb,35,333,751,503,coats_jackets
b74be3d9ee4fd85ca9a403497f3c88be,1049,1829,1888c592d0463e2a3d11b67efe65bdfb,340,759,383,869,leggings
