image_hash,width,height,box_hash,x,y,w,h,category
ea95158485d8c79b6d660501a9715e61,960,960,75fd4a9f18f35c776ee5ba84407373f2,283,206,145,252,hoodies
ea95158485d8c79b6d660501a9715e61,960,960,e723730cdbad9fb178f2403c2271fec7,283,442,91,35,shorts
eb523957e7e404e9977615c7dbc141cb,1080,1080,cd815034a02567ec64d3e949a7742cff,440,370,119,138,tees
eb523957e7e404e9977615c7dbc141cb,1080,1080,4b29017c8286be0c382b69281c2b8f90,746,376,116,186,tees
eb523957e7e404e9977615c7dbc141cb,1080,1080,1981fdf2f1e92fdfcebf2eb041755ed5,778,541,77,76,shorts
eb523957e7e404e9977615c7dbc141cb,1080,1080,a776c073cbfe5240422b8ba2be883297,452,491,81,130,pants
ecf05a001629f26cd2b72be0f850d4f9,1080,1080,531fde1ce8f4d0ec06394ed33b38b914,147,710,298,370,pants
ecf05a001629f26cd2b72be0f850d4f9,1080,1080,3486757369eeb784b34eb512c38d2cb7,424,665,362,415,jeans
ecf05a001629f26cd2b72be0f850d4f9,1080,1080,50b447a797598a08e6c61ef595d210af,186,159,239,559,tees
ecf05a001629f26cd2b72be0f850d4f9,1080,1080,87c118013d43a3ec3ad76a74cd88ce74,511,275,285,480,buttondowns
ecafd1ee742a67680f728fd65999b491,1080,1080,0856d271ade0acdbdcca304e966a5717,610,885,242,195,pants
ecafd1ee742a67680f728fd65999b491,1080,1080,2a0bc4cfafc2ac6d2de0db50a028d4e0,555,276,342,610,coats_jackets
edbd26e6bc5e31ba538ba49f69ff2917,1080,1351,6980fe09594b3aac0e2264801a7be910,327,419,514,818,tees
edbd26e6bc5e31ba538ba49f69ff2917,1080,1351,7d6b4ff41279f8cbba83435344867417,260,1052,426,277,shorts
edbd26e6bc5e31ba538ba49f69ff2917,1080,1351,466a340ed34ae2c5e1a17987bb14b6e5,812,130,268,583,tees
ef1a53953193dc40322bc3733f1840d5,1080,1182,8e9ed848adf46423c2af24ecb5c2e8c9,426,313,315,657,tees
eff66b058e3b38a164c4ec434c867160,1080,1078,9fea83e736681fb8b5d4f6f9e18ef661,146,341,546,699,pants
eff66b058e3b38a164c4ec434c867160,1080,1078,c0d86ff47348ef5f542ab430ef76758f,325,0,469,488,tees
f0949cc3ec51028e0d38f75525de4047,1080,1187,db5f6833ea9fe6f410920b7ba14befa1,438,416,417,748,dresses
efa387097faf09857f5531671d99dac9,1080,1240,8fcd9244ef11688d8957b4810adf3666,551,298,327,288,tees
f291bcab15679ae68b9dd8bbacbc7ae9,860,986,7e4d9fb30986fb8e58bcc964e654a498,70,166,215,201,tees
f291bcab15679ae68b9dd8bbacbc7ae9,860,986,6b2a5cfd3d91b7e6e21ee3bfbcfdd353,62,360,210,427,skirts
f2bcb17ed3b12cf4d43f257f753747d6,1080,1080,821caeb16b9f40107971e03fbaf705a5,297,264,528,642,coats_jackets
f2bcb17ed3b12cf4d43f257f753747d6,1080,1080,3a2f0603cd76e4cecc75c26e06617622,381,842,353,238,jeans
f538c186f3846ec7cec96554233a28b6,1080,1080,d7c7db49d72ace0a88f51bf38b61994a,94,249,611,755,buttondowns
f691212d0a4a6c43c8a08631cbc0e1ce,1080,1080,ae2144de525acddc8e2761a0255affa1,477,445,257,260,coats_jackets
f691212d0a4a6c43c8a08631cbc0e1ce,1080,1080,23488a58bac64b22ac07af2ba7323193,503,701,191,268,pants
f7bdf480a3a77a7374b68c1a76faebf9,1080,1351,e7c30f80618f873b6e16edcd14f245b7,519,745,301,322,shorts
f7bdf480a3a77a7374b68c1a76faebf9,1080,1351,c34617d80add432208cfe260d453864f,415,336,475,458,tees
f88b94cece5dbfe158d8b7f9bd5cc19e,1060,1060,50d93424a9eed1ab036a5ac70f8af994,0,10,622,513,longsleeveshirts
f88b94cece5dbfe158d8b7f9bd5cc19e,1060,1060,75d222440fc98995e53e037ada68c0d0,371,567,502,493,pants
f8a1410ccf880038551a29bb2e44d82d,1080,1080,3cecb13548f7ae2e19abbd05c6221fbd,179,273,694,741,tees
f8e97639c566c2c36158339dd381b980,969,969,98796f4859fd709d34afbb388609aff4,554,208,204,359,dresses
f8e97639c566c2c36158339dd381b980,969,969,29f21ec7a73c5b9cb86e51410a2de9de,595,191,216,282,cardigans
f9557a5b2c9f1decbdb121922090d4cb,1080,1080,d9b19f4e130039e578dcd3f4d9687011,427,55,386,438,longsleeveshirts
f9557a5b2c9f1decbdb121922090d4cb,1080,1080,7c362d348561c06a427584b653ce9fc8,420,369,660,617,henleys
f9557a5b2c9f1decbdb121922090d4cb,1080,1080,b1ab7e67fc525e61e0b71505af860cf2,648,0,267,243,shorts
f9557a5b2c9f1decbdb121922090d4cb,1080,1080,bba7dd6a602c09d52218705bb2d87dbe,354,46,488,507,buttondowns
f9a28bd4fcc8b317e122f0c744cf1b18,1080,1080,0c2f27ad0f4e60ce9ce87b2dca898c1e,165,325,522,676,tees
fa736e8066b9e398f80e218b65033803,1080,1080,edfad3e0e47796464de4ea4794a7d3ed,530,0,369,448,tees
fae41f5dc06cd63cc564be64bfe91ec2,929,929,85694823c5a50e9b05c3f6a73513fc8e,422,128,287,406,longsleeveshirts
fae41f5dc06cd63cc564be64bfe91ec2,929,929,427d7a5a9bf2f969d4a7359cb350ca26,245,290,176,225,tanks_camis
fae41f5dc06cd63cc564be64bfe91ec2,929,929,85a3daf08908766b870dc8b391cc5d25,246,496,168,114,shorts
fae41f5dc06cd63cc564be64bfe91ec2,929,929,cea9bc8e70ab708c90577115103ef563,408,510,251,419,pants
fae41f5dc06cd63cc564be64bfe91ec2,929,929,739fa24efe248f2db585c67b2799c2e6,126,235,145,627,jumpsuits
fafd7eae956ee647e81f277b7da65354,1047,1047,b60acf55130c368695a37b97db185aa0,789,420,193,293,longsleeveshirts
fafd7eae956ee647e81f277b7da65354,1047,1047,9696c4b5e846767e73478379d7f97970,780,667,248,308,pants
fafd7eae956ee647e81f277b7da65354,1047,1047,ef6901d639ee96bc9f6574a48e1f3a57,347,562,184,351,jeans
fafd7eae956ee647e81f277b7da65354,1047,1047,5a19b38e51c86499bffdec0ced797baa,151,217,579,334,coats_jackets
fb84adda61c9e71a2a141850f31a7c3c,870,870,1613c25b460ac134b115c985fbc09006,0,432,261,438,coats_jackets
fbc3967fdc358db3e3212225fc462b72,871,871,892232414ed34ba01401ad7d498f2ad1,476,333,395,256,tees
fbc3967fdc358db3e3212225fc462b72,871,871,643d4746fc9770a32e87ecda6189862f,0,314,316,483,tees
fb5f8430da1f31bc504dd45bfe58dbfe,1080,1080,273801fb151114b0f5cafa3e7fc3fc74,298,519,258,381,leggings
fb5f8430da1f31bc504dd45bfe58dbfe,1080,1080,8b1eee45b53ba70d2af86ad44f934c2c,275,185,318,405,longsleeveshirts
fb5f8430da1f31bc504dd45bfe58dbfe,1080,1080,a8829e8b6adcc39de53c18134c47d5a0,745,620,69,117,pants
fb5f8430da1f31bc504dd45bfe58dbfe,1080,1080,75129cdd8ed494f3c54d5ba0b3d2b59d,765,539,36,102,buttondowns
fb5f8430da1f31bc504dd45bfe58dbfe,1080,1080,a3d78840bf42082960f5ae749e796f39,756,541,68,108,coats_jackets
fbd9e5318edd7ebcfef22895c63023cc,1080,1350,b8b44ef9d74c685f16fc308ca486ceb9,748,204,193,474,tees
fc68a865ae387b8ccd53d9c1967b9eb7,1080,1080,9e3bf8a8f74ae3fe2fb4b017fc79d573,0,381,245,699,buttondowns
fc68a865ae387b8ccd53d9c1967b9eb7,1080,1080,51dd31d08c0191f1462f5234d159d0c7,254,457,402,623,tees
fcb719ec715af7d825a676a7a734408e,960,960,b727b5687597f4d87ff9952a88087431,796,151,149,185,hoodies
fd27898407da13efad312d6c6ffde577,1075,887,1837464a6e461a6e2255496711d73f96,0,158,272,416,tees
fd27898407da13efad312d6c6ffde577,1075,887,fb6da429cab1902e7e2506e5cb29fd05,0,557,254,330,pants
fd27898407da13efad312d6c6ffde577,1075,887,7d767ae212d73210d87b1a562cd0a749,769,480,269,407,pants
fd27898407da13efad312d6c6ffde577,1075,887,92f4b46230a7171d8fcd4073eae01aa8,480,453,287,236,jeans
fd27898407da13efad312d6c6ffde577,1075,887,6a2a3bede3d8324bbac5b867de2e160b,804,288,191,244,tanks_camis
fd0033772dfd01e909db7d850c82ff95,1080,1350,f296ea8b85f4efed833616b8a42b183d,316,445,614,374,tees
fe1964503a702f4a3f5d6156baef8a87,1080,1080,5a9cd6e1f0113366df3e6fd7fad80d5c,6,35,974,1045,sweaters
fdf86d40accef9cc41a71d88e28b0a01,1080,1324,fd5b41548100a63ec37c63efe8d2b142,374,384,317,391,tanks_camis
fded47321e6b9aada99e4b13c0f72d60,1080,994,d183ab1c76a7c059c84859ff910cdf07,656,0,424,700,tees
fee0b6edd3a92cdb7bdacc4566f32ef1,1080,1350,6b6684dff160fd4ca2f6bc9da52fe838,270,434,533,779,coats_jackets
fee0b6edd3a92cdb7bdacc4566f32ef1,1080,1350,809dd0b823b191dcc868fd444647ca11,406,1141,334,209,jeans
fefd89871c7a4bd83438742658c28c9f,1080,1080,a8a05226be34051d9e0b70eed571b770,486,662,89,82,coats_jackets
fefd89871c7a4bd83438742658c28c9f,1080,1080,e519cfe1cc18c947ad6cce7bd3210adb,486,732,68,101,pants
fefd89871c7a4bd83438742658c28c9f,1080,1080,b0ad91177b4d5726f1970b1b13fdf4a1,501,629,327,451,buttondowns
ff1d607da0c9890bbe85efafcf4e6934,1080,1080,febf9e1554124cbbea474aa7a4fd79bd,342,262,340,397,buttondowns
